#{"t_start": 1651713549.0551136, "env_id": null}
r,l,t
-114.889217,15,0.020126
-85.652053,15,0.030203
-43.45012,15,0.048408
-147.934301,15,0.060559
-85.459786,15,0.070589
-89.277414,15,0.08065
-115.696727,15,0.098762
-181.993609,15,0.110825
-163.059324,15,0.120897
-55.843318,15,0.130975
-68.038582,15,0.149182
-36.285391,15,0.161413
-32.623308,15,0.17158
-77.071821,15,0.189742
-223.027708,15,0.201834
-97.0261,15,0.211864
-252.880814,15,0.229964
-96.145506,15,0.242024
-155.457655,15,0.252052
-73.013781,15,0.262153
-137.841457,15,0.272217
-136.704014,15,0.282275
-103.527085,15,0.300337
-158.550516,15,0.312399
-119.001767,15,0.322492
-92.866309,15,0.332543
-183.875855,15,0.342642
-218.628664,15,0.352672
-55.78362,15,0.370772
-88.021443,15,0.382827
-239.71455,15,0.392873
-63.973371,15,0.402966
-69.253294,15,0.412996
-76.783407,15,0.423056
-54.563614,15,0.433084
-224.593045,15,0.451153
-172.992912,15,0.463232
-216.692895,15,0.471247
-165.960035,15,0.483298
-123.702704,15,0.491311
-175.816012,15,0.503371
-184.115797,15,0.511385
-202.810609,15,0.531487
-48.811843,15,0.543557
-107.137792,15,0.553585
-148.175612,15,0.563713
-179.779671,15,0.573743
-96.070129,15,0.583825
-126.571136,15,0.593854
-86.707778,15,0.61264
-130.175813,15,0.6227
-43.138265,15,0.634766
-58.781287,15,0.644871
-154.614668,15,0.6549
-65.76335,15,0.664983
-50.526545,15,0.675016
-70.862482,15,0.685105
-54.03105,15,0.703249
-178.731211,15,0.713295
-65.163302,15,0.725348
-132.754832,15,0.735378
-37.008092,15,0.745446
-81.94734,15,0.755474
-218.395058,15,0.765561
-55.722278,15,0.775614
-39.658313,15,0.793681
-149.736786,15,0.80581
-246.297027,15,0.815837
-134.015679,15,0.825893
-276.553682,15,0.835922
-85.437242,15,0.845978
-153.165353,15,0.853992
-75.284136,15,0.874071
-38.967822,15,0.886138
-82.501428,15,0.894153
-63.872352,15,0.90621
-107.944112,15,0.914225
-162.01208,15,0.93438
-55.580489,15,0.946476
-119.126058,15,0.954489
-177.444779,15,0.966546
-216.22777,15,0.974561
-125.898486,15,0.986623
-94.329946,15,1.006714
-80.12077,15,1.014755
-166.244035,15,1.026807
-148.29337,15,1.034821
-117.523264,15,1.054888
-33.933862,15,1.066978
-66.854594,15,1.074993
-93.512229,15,1.087081
-297.557157,15,1.095096
-308.474227,15,1.115184
-83.362493,15,1.127243
-33.846045,15,1.135257
-287.458776,15,1.147374
-124.618421,15,1.165491
-90.043397,15,1.175551
-64.212087,15,1.187748
-145.891012,15,1.195782
-97.801577,15,1.207908
-66.717508,15,1.227997
-104.553198,15,1.23601
-288.496786,15,1.248063
-21.906214,15,1.256077
-229.704792,15,1.276137
-30.183061,15,1.288172
-509.806657,15,1.296186
-191.533373,15,1.30824
-71.349274,15,1.316255
-156.81554,15,1.336322
-145.801052,15,1.348409
-103.145674,15,1.356434
-67.521526,15,1.368489
-113.231824,15,1.376503
-61.761798,15,1.3966
-91.348719,15,1.408734
-178.693266,15,1.416746
-292.290159,15,1.428782
-269.673935,15,1.436797
-207.992882,15,1.456864
-18.505876,15,1.46892
-70.204986,15,1.476933
-56.835518,15,1.488986
-55.660498,15,1.497001
-172.790239,15,1.517072
-97.96063,15,1.529154
-189.317347,15,1.537174
-49.61614,15,1.54926
-227.66382,15,1.557275
-91.455998,15,1.569365
-36.945507,15,1.589434
-126.799811,15,1.597448
-86.220237,15,1.609515
-52.225912,15,1.61753
-86.109707,15,1.629602
-315.437594,15,1.818727
-77.054456,15,1.830837
-101.245142,15,1.838876
-43.418101,15,1.850953
-273.5359,15,1.87108
-301.720724,15,1.879119
-26.159802,15,1.899234
-46.683451,15,1.911317
-34.649835,15,1.919363
-147.12207,15,1.939478
-115.62207,15,1.951542
-341.091716,15,1.959585
-98.796922,15,1.971706
-109.107699,15,1.97975
-31.870066,15,1.999892
-114.397453,15,2.011976
-119.832454,15,2.019989
-64.029784,15,2.032054
-113.11871,15,2.050109
-34.248838,15,2.060138
-106.843199,15,2.072211
-72.259793,15,2.080225
-52.619754,15,2.092297
-147.777681,15,2.110349
-42.723422,15,2.120399
-177.144143,15,2.132455
-51.653119,15,2.140471
-50.088908,15,2.152559
-50.206707,15,2.170716
-108.642083,15,2.180743
-132.309984,15,2.192775
-94.676807,15,2.200789
-91.477962,15,2.212847
-89.337011,15,2.232942
-86.956157,15,2.240956
-58.591414,15,2.253019
-181.719821,15,2.261031
-111.364347,15,2.281157
-173.837499,15,2.293205
-45.78381,15,2.301219
-60.790234,15,2.313329
-78.746771,15,2.321342
-49.378016,15,2.341394
-197.266965,15,2.353427
-86.4574,15,2.361442
-187.702668,15,2.373483
-123.004901,15,2.381496
-126.9718,15,2.401574
-31.832915,15,2.413806
-134.23705,15,2.421844
-212.780107,15,2.433906
-24.396541,15,2.441931
-70.853375,15,2.461995
-225.612352,15,2.474047
-50.230723,15,2.482066
-122.374685,15,2.494139
-263.310414,15,2.502153
-78.063821,15,2.522225
-151.796578,15,2.534304
-178.116047,15,2.542318
-95.545601,15,2.554443
-84.250969,15,2.562455
-194.867241,15,2.582532
-38.177952,15,2.594611
-165.16579,15,2.602656
-148.936274,15,2.614746
-86.68401,15,2.62276
-22.889724,15,2.642857
-148.513862,15,2.654978
-61.817881,15,2.662992
-67.170279,15,2.675046
-58.892104,15,2.683078
-195.330552,15,2.703158
-122.134356,15,2.715255
-79.581189,15,2.723268
-80.129994,15,2.735347
-38.130171,15,2.743391
-194.943292,15,2.763499
-212.167439,15,2.775605
-79.601226,15,2.783619
-129.605542,15,2.795713
-100.550876,15,2.803744
-156.363827,15,2.823813
-48.253917,15,2.835863
-91.514311,15,2.843878
-70.140155,15,2.85595
-65.604248,15,2.863964
-192.466941,15,2.884038
-51.57634,15,2.896128
-69.195185,15,2.904143
-177.08536,15,2.916217
-232.32305,15,2.934309
-91.939663,15,2.944338
-68.844948,15,2.956399
-49.769007,15,2.964414
-96.51834,15,2.976509
-180.050695,15,2.994591
-235.929906,15,3.004619
-152.225908,15,3.016876
-142.413256,15,3.024889
-268.651449,15,3.036951
-96.571316,15,3.055011
-64.446652,15,3.065048
-92.57938,15,3.077105
-71.19561,15,3.08512
-76.216893,15,3.097173
-172.879163,15,3.115314
-102.419655,15,3.125347
-121.736857,15,3.137476
-28.669585,15,3.145491
-119.814181,15,3.165537
-186.755954,15,3.177598
-92.924855,15,3.18561
-32.343656,15,3.197681
-188.178537,15,3.205695
-113.599332,15,3.217748
-16.468411,15,3.237805
-328.275619,15,3.245831
-28.143245,15,3.257886
-111.140801,15,3.2659
-106.726468,15,3.28603
-130.619901,15,3.298157
-124.390923,15,3.306204
-89.609379,15,3.318327
-92.267631,15,3.326342
-250.620535,15,3.346408
-115.648616,15,3.3585
-94.552472,15,3.366513
-216.698863,15,3.378624
-164.250887,15,3.386638
-106.044235,15,3.406728
-235.438768,15,3.418783
-157.014519,15,3.426795
-212.092026,15,3.438852
-73.43242,15,3.446888
-84.804205,15,3.466994
-41.020307,15,3.479053
-121.888693,15,3.660305
-37.917289,15,3.678418
-68.897034,15,3.690526
-225.995144,15,3.70063
-60.66594,15,3.710703
-68.378875,15,3.73079
-66.890303,15,3.740831
-91.041187,15,3.750859
-92.600811,15,3.768922
-58.60038,15,3.781046
-30.09881,15,3.791175
-34.430169,15,3.801277
-78.788152,15,3.811359
-49.503364,15,3.829475
-307.41345,15,3.841587
-113.370843,15,3.851615
-211.075058,15,3.861674
-20.123997,15,3.869688
-78.007703,15,3.889776
-53.222162,15,3.901862
-101.241906,15,3.911925
-55.290009,15,3.921979
-23.155745,15,3.932009
-64.259365,15,3.942078
-62.109579,15,3.952107
-55.477953,15,3.970171
-101.138367,15,3.980248
-57.39296,15,3.992294
-60.47987,15,4.002364
-141.998506,15,4.012392
-280.366748,15,4.022508
-99.118855,15,4.03255
-47.963939,15,4.042645
-278.372231,15,4.060706
-235.288528,15,4.07275
-50.53926,15,4.082879
-275.282014,15,4.090892
-42.138061,15,4.102951
-74.402375,15,4.113
-52.252465,15,4.131068
-136.590217,15,4.143193
-95.486412,15,4.151207
-169.978189,15,4.163265
-119.17072,15,4.173295
-144.670424,15,4.183402
-288.707041,15,4.193431
-94.614221,15,4.211534
-140.881368,15,4.223809
-183.406675,15,4.233839
-86.136611,15,4.243893
-258.851344,15,4.253922
-220.134429,15,4.263957
-129.196062,15,4.282062
-41.523696,15,4.294119
-16.797799,15,4.304234
-318.31381,15,4.31435
-83.329993,15,4.324407
-77.064547,15,4.342475
-63.09667,15,4.352533
-127.619349,15,4.364582
-112.552152,15,4.374611
-99.667237,15,4.384679
-162.699588,15,4.394733
-58.898533,15,4.412836
-68.658388,15,4.424906
-71.606679,15,4.434935
-330.897821,15,4.44499
-67.129681,15,4.453011
-111.136429,15,4.473092
-86.075911,15,4.485175
-42.409432,15,4.49319
-85.649445,15,4.505278
-45.019974,15,4.51531
-180.856712,15,4.525371
-125.973214,15,4.543489
-269.40627,15,4.553518
-31.40331,15,4.565725
-68.200161,15,4.575796
-139.017444,15,4.58588
-129.976476,15,4.595907
-94.054292,15,4.613979
-128.518426,15,4.624038
-194.767165,15,4.63608
-72.871355,15,4.646133
-180.283186,15,4.656162
-72.753158,15,4.666217
-232.764269,15,4.684288
-64.735804,15,4.696331
-44.373993,15,4.706387
-160.471717,15,4.714404
-60.761666,15,4.726438
-102.458708,15,4.736466
-75.521149,15,4.754621
-132.537215,15,4.766665
-79.731997,15,4.776693
-59.657392,15,4.786748
-79.872646,15,4.796777
-55.628623,15,4.806878
-138.89946,15,4.816919
-88.771685,15,4.835039
