Number of Episodes,Rewards
1500,-155.92333467999998
1530,-157.2075981
1560,-162.68530030000002
1590,-161.99234844
1620,-159.31295307999997
1650,-162.31524002
1680,-164.21297882
1710,-163.18182976
1740,-158.30391790000002
1770,-157.52099532
1800,-161.06685418
1830,-158.53449795999998
1860,-158.92473062
1890,-157.83176996
1920,-155.0423523
1950,-155.37158274
1980,-153.88943072
2010,-155.17403472
2040,-157.02579566000006
2070,-158.16098708
2100,-153.69043824000002
2130,-153.46118408000004
2160,-151.59182054000001
2190,-152.74352382
2220,-155.18441022
2250,-156.80167254
2280,-155.65089569999998
2310,-155.58751120000002
2340,-156.16166446000003
2370,-155.68373848000002
2400,-155.05801523999997
2430,-151.94700362
2460,-149.03460766
2490,-149.3161823
2520,-146.1660285
2550,-147.20148752000003
2580,-143.68416412000002
2610,-143.80939114
2640,-145.8899949
2670,-144.87069598000002
2700,-145.91630348000004
2730,-144.00485112
2760,-143.64015596
2790,-142.08666190000002
2820,-140.00143314000002
2850,-140.8675668
2880,-137.40910658
2910,-134.96294382
2940,-135.42158766
2970,-134.35293116000003
3000,-135.22538358000003
3030,-138.15560535999998
3060,-133.84836318
3090,-135.00108870000003
3120,-132.62519922000004
3150,-131.90506474
3180,-129.49245984
3210,-129.66350506
3240,-131.51023838
3270,-130.86341387999997
3300,-127.99961109999998
3330,-128.99192792
3360,-129.5203998
3390,-129.39018264
3420,-129.47915576
3450,-127.89769506000002
3480,-127.71823268000001
3510,-127.13735522
3540,-129.41922106
3570,-128.62317834
3600,-129.02155824
3630,-127.70472268
3660,-130.42341338
3690,-131.76624606000001
3720,-128.54802454
3750,-127.01487576000001
3780,-130.93442434000002
3810,-131.61660166000001
3840,-132.04015732
3870,-134.32514364
3900,-133.88411370000003
3930,-133.54649546000005
3960,-134.19681006000002
3990,-135.91154474000004
4020,-137.35996920000002
4050,-136.03517852000002
4080,-136.73095096
4110,-135.2109785
4140,-133.7375232
4170,-133.13653012000003
4200,-132.6585076
4230,-132.09274394000002
4260,-130.56227824
4290,-131.81576312
4320,-133.22766356000002
4350,-133.36414276000002
4380,-132.86748022
4410,-133.32748329999998
4440,-131.56759662
4470,-131.18410833999997
4500,-131.69304588
4530,-126.78494426
4560,-124.59308824000003
4590,-124.49381512000002
4620,-124.63973668
4650,-121.90264828000001
4680,-121.54483786
4710,-120.92136536
4740,-119.42056620000001
4770,-119.3589168
4800,-120.88082949999999
4830,-121.46897055999999
4860,-119.86513185999999
4890,-122.16341627999999
4920,-121.0539192
4950,-125.45809960000001
4980,-126.83126274000001
5010,-125.21978730000001
5040,-121.32142348
5070,-120.85651146000001
5100,-118.34155898
5130,-119.29777542
5160,-116.17213682
5190,-114.15889630000001
5220,-114.04158276000001
5250,-114.80433872000002
5280,-111.70456402
5310,-111.22383322
5340,-110.81279291999999
5370,-108.28272819999998
5400,-110.97301716
5430,-110.55227420000001
5460,-110.1023381
5490,-106.47300318000002
5520,-103.91675844000001
5550,-104.46566146
5580,-104.38193276
5610,-103.57120173999999
5640,-104.12832742
5670,-103.22591138
5700,-102.58398595999999
5730,-104.2957577
5760,-106.87936522000001
5790,-109.6248317
5820,-109.23962734000001
5850,-108.1745899
5880,-111.55206100000001
5910,-113.26815628000001
5940,-113.25004958
5970,-115.63496839999999
6000,-113.92974980000001
6030,-113.74478918
6060,-117.08952132
6090,-115.85821864
6120,-117.74419306
6150,-119.73968596
6180,-119.30601282
6210,-120.13307375999999
6240,-119.33377346
6270,-119.10036836
6300,-116.91522608
6330,-115.61418612
6360,-115.9436396
6390,-113.63178176
6420,-114.03240346
6450,-109.5303707
6480,-107.42026448
6510,-107.89975353999999
6540,-108.36299089999999
6570,-105.24066715999999
6600,-106.5883171
6630,-107.17307134
6660,-110.30996099999999
6690,-112.33601488
6720,-111.77007132
6750,-110.9483254
6780,-112.82096076
6810,-114.51923628
6840,-113.94461254000001
6870,-114.32502656000001
6900,-112.93100098000001
6930,-114.48341400000001
6960,-115.06661742
6990,-115.7606439
7020,-116.52685595999999
7050,-114.58081622
7080,-114.58613442
7110,-115.46750176
7140,-114.18489532000001
7170,-116.23912997999999
7200,-116.84622972
7230,-116.39338684
7260,-118.0139451
7290,-115.25301063999999
7320,-115.07600077999999
7350,-114.53639161999999
7380,-110.98862236
7410,-108.61410334
7440,-110.32494012
7470,-108.03845838
7500,-108.31276012
7530,-108.76148094000001
7560,-108.68651754
7590,-109.91348912000001
7620,-108.98580148000002
7650,-106.53276128
7680,-108.01999522
7710,-108.50586592
7740,-108.95363792
7770,-109.02914883999999
7800,-110.67186626
7830,-112.09206376
7860,-111.25158760000001
7890,-110.37182320000001
7920,-111.28231768
7950,-112.89034138000001
7980,-114.78103982
8010,-115.06641566
8040,-115.71923028
8070,-115.75478838000001
8100,-114.61591118
8130,-112.46581046
8160,-109.83978364
8190,-108.89061180000002
8220,-108.11948882
8250,-107.73819748
8280,-105.86640566000001
8310,-104.43806690000001
8340,-103.77351794
8370,-101.72891842
8400,-100.15984024
8430,-98.20236418
8460,-97.06861184
8490,-95.91328496
8520,-95.5306174
8550,-95.30675072
8580,-94.95076662
8610,-94.90406904
8640,-94.24164377999999
8670,-93.08686970000001
8700,-93.32961654
8730,-92.66855838
8760,-88.3442262
8790,-86.92408414
8820,-87.81426586
8850,-88.90330352000001
8880,-87.52806942
8910,-88.73464589999999
8940,-88.08074773999999
8970,-88.20229088
9000,-90.22796174
9030,-90.2316398
9060,-87.45059924
9090,-86.48096192000001
9120,-87.37093986
9150,-88.90708083999999
9180,-88.87256504
9210,-87.00247302000001
9240,-89.65796746000001
9270,-91.11412862
9300,-89.41021248
9330,-88.44579702
9360,-89.39555874
9390,-89.14938284000002
9420,-88.65223282000001
9450,-88.42684092
9480,-86.46756526000001
9510,-87.69763780000001
9540,-87.1609567
9570,-86.92261798
9600,-87.20620908
9630,-87.47458259999999
9660,-87.86394603999999
9690,-87.68591768
9720,-87.05673906000001
9750,-87.22496502000001
9780,-86.29768800000001
9810,-85.47274034
9840,-86.18076506
9870,-86.17926774
9900,-85.96489888
9930,-86.42158944
9960,-86.97906254000002
9990,-87.78208816
10020,-88.03760496
10050,-90.37041640000001
10080,-90.15406030000001
10110,-90.24543188
10140,-90.66827276000001
10170,-90.29306046
10200,-90.50464386
10230,-91.97678945999999
10260,-93.58783134000001
10290,-92.9480614
10320,-92.58691375999999
10350,-90.78590614
10380,-92.99681748
10410,-93.65768606
10440,-93.78621112
10470,-93.54433176
10500,-90.95037516000001
10530,-89.89378428
10560,-91.59011268
10590,-91.36221218
10620,-89.31278592
10650,-87.41872427999999
10680,-85.87096743999999
10710,-85.78725915999999
10740,-81.9983593
10770,-79.80675160000001
10800,-80.36653536
10830,-82.01873359999999
10860,-82.26552560000002
10890,-82.80790944000002
10920,-81.74164920000001
10950,-81.25352960000001
10980,-81.42007698000002
11010,-79.25835324000002
11040,-78.24128998
11070,-78.71409556
11100,-78.95524633999999
11130,-78.8571529
11160,-78.94464498000002
11190,-77.48792966000002
11220,-78.65872070000002
11250,-77.90763032000001
11280,-77.83216132
11310,-78.10575856
11340,-77.31841848
11370,-82.96889216000001
11400,-82.91383538000001
11430,-81.94737664000002
11460,-81.23559926000001
11490,-81.98454654000001
11520,-81.43319962000001
11550,-79.94458498000002
11580,-79.84629626
11610,-80.15441163999999
11640,-83.08725444
11670,-82.07407912
11700,-81.87308014
11730,-80.02082672
11760,-79.80983492
11790,-80.55531542
11820,-79.4145069
11850,-81.26550068000002
11880,-79.26594242000002
11910,-77.11813860000001
11940,-75.66514038000001
11970,-74.66248176
12000,-75.04078846
12030,-83.14719292
12060,-81.31781182
12090,-84.76828397999999
12120,-85.03432423999999
12150,-85.20264273999999
12180,-85.47640068
12210,-86.62611234
12240,-86.72873486
12270,-87.34833631999999
12300,-87.97636276
12330,-86.62064656
12360,-85.18426074
12390,-84.68028144
12420,-84.78921738
12450,-85.0236844
12480,-85.12021278
12510,-85.58233114000001
12540,-85.02763374000001
12570,-85.27599128
12600,-84.42893914
12630,-83.88888866
12660,-82.90794724000001
12690,-84.09125144000001
12720,-84.29945954
12750,-84.1622734
12780,-85.0137862
12810,-84.43114016
12840,-84.37176728
12870,-78.78049556
12900,-79.68365388000001
12930,-79.76044052000002
12960,-79.6231682
12990,-78.04134477999999
13020,-77.88832012
13050,-77.10342154000001
13080,-77.08264742
13110,-75.5029569
13140,-72.91224324000001
13170,-72.85302156
13200,-71.7642267
13230,-71.30493162
13260,-70.07260156000001
13290,-70.72168656000001
13320,-70.46061324
13350,-68.65296678
13380,-68.46278548
13410,-68.3388096
13440,-68.53072838
13470,-68.68410132000001
13500,-68.16753314
13530,-59.9599391
13560,-60.781598300000006
13590,-57.37069616000001
13620,-57.310008440000004
13650,-58.06051606
13680,-59.424065479999996
13710,-57.85759104
