Number of Episodes,Rewards
4500,-145.15027724
4590,-146.42496118
4680,-145.6164153
4770,-146.4123592
4860,-146.94498570000005
4950,-146.90090428000002
5040,-145.76736954
5130,-146.17210762000002
5220,-150.01547298000003
5310,-149.02712036
5400,-147.59052794
5490,-148.47241381999999
5580,-145.77881853999997
5670,-143.32197631999998
5760,-148.59074332
5850,-148.49313636000002
5940,-149.24076052
6030,-148.09944984
6120,-148.07807447999997
6210,-147.2704593
6300,-146.32521448
6390,-147.40450876
6480,-147.26643866
6570,-147.96234454
6660,-147.28826456
6750,-147.17696132
6840,-147.98819558000002
6930,-148.37341076000004
7020,-147.65886938
7110,-145.92716702
7200,-144.97695834
7290,-144.81160644
7380,-143.30659952
7470,-140.631358
7560,-140.12374304000002
7650,-138.66706026
7740,-138.658171
7830,-139.20398988000002
7920,-138.74724352
8010,-133.10986776
8100,-133.91289749999999
8190,-132.83773568
8280,-133.55168569999998
8370,-133.42334775999998
8460,-133.98137664
8550,-133.76107764
8640,-132.50031022
8730,-131.81969332000003
8820,-131.83572208
8910,-131.53115695999998
9000,-133.70090116
9090,-131.8355401
9180,-134.67265812
9270,-133.91833301999998
9360,-129.32974766
9450,-126.79268906000001
9540,-125.41963208
9630,-125.49682474
9720,-120.84588796
9810,-122.27479742
9900,-121.19749266
9990,-120.19424246
10080,-120.52951752000001
10170,-122.33997812000001
10260,-117.57738614
10350,-116.46863092000001
10440,-115.09557094000002
10530,-114.32264284000001
10620,-113.12554168000001
10710,-111.83283886000001
10800,-112.08193982000002
10890,-112.16907826
10980,-112.34730880000001
11070,-109.96277420000001
11160,-110.53916058000001
11250,-109.02037948000002
11340,-108.39540212
11430,-108.1278974
11520,-106.92525778000001
11610,-106.78563791999999
11700,-106.40685325999999
11790,-106.84342872
11880,-103.8148699
11970,-102.2335766
12060,-100.73262138
12150,-100.19637604
12240,-98.98625846
12330,-98.20531164
12420,-96.32156232
12510,-95.96168852000001
12600,-94.54764124
12690,-94.21455892
12780,-92.6551802
12870,-93.02552784
12960,-91.81158216000001
13050,-92.10629758
13140,-92.47454772
13230,-92.43684666
13320,-92.80027480000001
13410,-92.69797406
13500,-90.75161346000002
13590,-91.86996328
13680,-88.93252654000001
13770,-91.01458168
13860,-91.64375473999999
13950,-92.86050766
14040,-97.0528196
14130,-97.19303040000001
14220,-95.7296379
14310,-93.94038146
14400,-93.71880947999999
14490,-96.65602033999998
14580,-97.77326849999999
14670,-96.17880758
14760,-95.81808538
14850,-96.70307806
14940,-96.84005288
15030,-96.52021794
15120,-95.78440436000001
15210,-95.79233166000002
15300,-94.72645222000001
15390,-93.94215178
15480,-93.25938106000001
15570,-93.16567764
15660,-91.542291
15750,-91.63266042
15840,-91.85265882
15930,-91.85131670000001
16020,-92.1599248
16110,-93.71304812000001
16200,-94.37127326
16290,-95.51540271999998
16380,-95.88220573999999
16470,-96.79998017999999
16560,-94.88469916
16650,-94.91432078000001
16740,-95.17925184000002
16830,-95.39927567999999
16920,-95.30247074
17010,-95.54471758
17100,-95.31139796
17190,-94.80787123999998
17280,-94.62627992
17370,-93.0990952
17460,-93.83297099999999
17550,-92.5746121
17640,-92.78618966
17730,-90.82220299999999
17820,-89.72359756
17910,-90.92248992
18000,-90.78109934
18090,-88.70679494
18180,-88.54140892000001
18270,-86.90752028000001
18360,-86.60028040000002
18450,-85.00340696
18540,-80.33977464
18630,-79.1254681
18720,-78.52751300000001
18810,-78.51872404
18900,-77.84168856
18990,-73.54553286
19080,-72.73899146
19170,-72.57225679999999
19260,-72.36730954
19350,-70.97146835999999
19440,-70.73964636000001
19530,-71.38583670000001
19620,-71.87094312
19710,-72.06147497999999
19800,-71.66826764
19890,-70.93306588
19980,-71.01694962
20070,-70.38623264
20160,-70.16601296
20250,-69.90249184
20340,-69.34123084
20430,-68.05335952
20520,-67.55673804
20610,-65.99920216
20700,-64.7699054
20790,-62.18816905999999
20880,-61.500162720000006
20970,-59.912605160000005
21060,-59.879815199999996
21150,-59.296314499999994
21240,-58.633232480000004
21330,-57.44314906
21420,-57.16841374
21510,-56.63193094
21600,-56.35665426
21690,-56.76161835999999
21780,-56.26707012
21870,-56.079806999999995
21960,-55.35051666
22050,-55.51499034
22140,-54.790577139999996
22230,-54.8293008
22320,-54.61557612
22410,-52.752759860000005
22500,-52.10496750000001
22590,-51.54113132000001
22680,-51.028246540000005
22770,-50.06831578
22860,-48.86304406
22950,-49.77949855999999
23040,-49.39790376
23130,-49.619271180000005
23220,-49.688851080000006
23310,-49.6545246
23400,-49.76114398
23490,-49.63730792
23580,-48.98211484000001
23670,-49.048061100000005
23760,-48.5997477
23850,-48.7400897
23940,-48.447191479999994
24030,-47.399934900000005
24120,-47.3960298
24210,-46.70886434
24300,-46.24264966
24390,-45.896927999999996
24480,-45.58064768
24570,-44.9817392
24660,-44.709826559999996
24750,-44.21161288
24840,-43.572196600000005
24930,-43.64208448
25020,-43.34448524
25110,-42.80429638
25200,-43.37440646
25290,-43.68709134
25380,-43.75380330000001
25470,-43.6272927
25560,-43.32250422
25650,-43.25961304
25740,-43.16696922
25830,-42.96472706000001
25920,-43.037724680000004
26010,-42.77862098000001
26100,-42.8928727
26190,-42.12022884
26280,-41.97435738
26370,-41.580996340000006
26460,-42.639910660000005
26550,-42.0525219
26640,-41.84461702
26730,-41.68933164
26820,-41.41402234
26910,-41.51138806000001
27000,-41.57692964
27090,-41.28053254000001
27180,-41.09204162
27270,-40.9668282
27360,-41.2123872
27450,-40.53776298
27540,-40.69577474
27630,-41.01145078
27720,-40.9442033
27810,-40.84591702
27900,-40.74324764000001
27990,-40.81467086000001
28080,-40.91971724
28170,-40.25149866
28260,-40.431532000000004
28350,-39.90582888000001
28440,-40.06468376
28530,-39.35455032
28620,-38.82711384000001
28710,-38.95589386000001
28800,-38.815732780000005
28890,-38.63199958
28980,-39.11931856
29070,-39.54548052
29160,-40.1663385
29250,-40.4227028
29340,-40.6276313
29430,-39.92075311999999
29520,-40.076149519999994
29610,-40.043548799999996
29700,-39.43634118
29790,-38.9734453
29880,-38.75498134000001
29970,-39.02000848
30060,-39.19721778
30150,-38.71980398
30240,-38.61565094
30330,-38.2860411
30420,-38.747496119999994
30510,-39.22617804
30600,-38.563524560000005
30690,-39.114015640000005
30780,-38.934971420000004
30870,-38.9914791
30960,-37.83154246
31050,-37.66167782
31140,-37.4721276
31230,-37.393622220000005
31320,-37.573540920000006
31410,-37.47202832
31500,-37.11700362
31590,-36.889142060000005
31680,-36.659774
31770,-36.10597070000001
31860,-35.895101540000006
31950,-35.42856728
32040,-35.00276710000001
32130,-34.334703680000004
32220,-34.612040099999994
32310,-34.49189499999999
32400,-34.663311639999996
32490,-34.878139440000005
32580,-34.42316734
32670,-34.43659751999999
32760,-34.74836892
32850,-34.91188598
32940,-34.520472399999996
33030,-34.51429182
33120,-33.99266302000001
33210,-33.6265366
33300,-33.63193564
33390,-33.345123439999995
33480,-32.97192288
33570,-32.41476346
33660,-31.54647752
33750,-32.25807386
33840,-32.445560560000004
33930,-32.4207555
34020,-33.512205439999995
34110,-33.334557679999996
34200,-33.5187226
34290,-33.31136838
34380,-33.506481359999995
34470,-33.217471180000004
34560,-33.35711078
34650,-33.733071
34740,-33.67815924
34830,-33.64502028
34920,-33.3472451
35010,-32.93991764
35100,-33.5173646
35190,-32.91546288
35280,-33.91965664
35370,-33.6750518
35460,-33.6861351
35550,-33.90542784
35640,-33.569714020000006
35730,-33.26557856
35820,-33.51718068
35910,-33.264306
36000,-33.49222052
36090,-33.45284202
36180,-33.381196779999996
36270,-33.91565082
36360,-34.41890008000001
36450,-34.321016779999994
36540,-34.588623160000004
36630,-34.81322686000001
36720,-33.726652980000004
36810,-33.35582826
36900,-32.7649026
36990,-32.160667780000004
37080,-31.943350700000007
37170,-32.424693080000004
37260,-31.98031618
37350,-31.86845402
37440,-32.364897500000005
37530,-32.218152280000005
37620,-32.35072176
37710,-32.481480499999996
37800,-32.89049012
37890,-32.937668
37980,-32.580426239999994
38070,-32.618008079999996
38160,-33.19985022
38250,-32.729632
38340,-32.21286342
38430,-32.384887639999995
38520,-31.05625666
38610,-31.83585614
38700,-31.538359640000003
38790,-31.86158864
38880,-31.41259034
38970,-31.62943068
39060,-31.601093479999996
39150,-31.778893659999998
39240,-31.42596894
39330,-31.46212324
39420,-31.213970319999998
39510,-30.848775040000003
39600,-30.355104139999998
39690,-30.448199980000002
39780,-29.546018400000005
39870,-29.533758920000004
