#{"t_start": 1651711458.952147, "env_id": null}
r,l,t
-234.260194,90,0.090562
-148.121769,90,0.171152
-154.449518,90,0.249526
-265.348871,90,0.331929
-240.631233,90,0.411183
-254.454956,90,0.483656
-115.147035,90,0.56421
-199.248058,90,0.64458
-152.449829,90,0.725053
-234.333037,90,0.803401
-132.693396,90,0.875651
-222.716308,90,0.954239
-269.984211,90,1.046669
-108.338698,90,1.126919
-193.795299,90,1.2072
-103.671266,90,1.287599
-184.097257,90,1.368001
-170.812016,90,1.44852
-189.969112,90,1.536857
-335.178518,90,1.617191
-114.899329,90,1.697534
-129.516845,90,1.777894
-313.84267,90,2.039535
-192.931973,90,2.131995
-183.309582,90,2.22066
-115.180307,90,2.300946
-199.337778,90,2.381294
-130.631263,90,2.458249
-216.255617,90,2.542834
-205.694807,90,2.627448
-100.046839,90,2.712058
-230.844153,90,2.790187
-316.303087,90,2.874825
-168.745831,90,2.959425
-321.844903,90,3.044034
-109.97381,90,3.12866
-136.075438,90,3.213285
-257.858881,90,3.291394
-310.286964,90,3.376011
-117.199534,90,3.460626
-213.013934,90,3.545245
-108.663759,90,3.626396
-185.043786,90,3.707046
-132.364147,90,3.797688
-137.687002,90,3.878263
-175.345102,90,4.158865
-180.885015,90,4.249608
-89.849984,90,4.332147
-113.642524,90,4.412728
-61.658594,90,4.49119
-152.961105,90,4.563515
-112.485203,90,4.644092
-216.50219,90,4.714535
-297.228334,90,4.795067
-151.327386,90,4.87545
-159.610437,90,4.955826
-86.789193,90,5.03422
-392.997615,90,5.104531
-98.98303,90,5.18689
-195.41125,90,5.267849
-100.459954,90,5.348248
-119.027954,90,5.418634
-100.359707,90,5.499011
-229.715624,90,5.579378
-166.840623,90,5.649659
-152.150042,90,5.730134
-190.87929,90,5.80855
-218.150959,90,5.891005
-183.797478,90,6.16082
-136.337826,90,6.241299
-135.785719,90,6.33175
-85.107771,90,6.414305
-291.859396,90,6.483319
-122.778079,90,6.567933
-151.039645,90,6.65255
-154.633379,90,6.730659
-124.863482,90,6.815272
-109.315905,90,6.899886
-80.341211,90,6.984499
-177.831358,90,7.069114
-112.062809,90,7.153739
-268.512351,90,7.231848
-156.041785,90,7.316485
-240.098204,90,7.401111
-175.442978,90,7.470102
-107.193987,90,7.554713
-205.93368,90,7.648443
-164.943899,90,7.717465
-119.685009,90,7.802047
-133.647626,90,7.886661
-99.288482,90,7.971274
-119.204268,90,8.234228
-142.00536,90,8.33446
-132.450796,90,8.419098
-119.755762,90,8.488064
-140.664648,90,8.557054
-183.988826,90,8.635181
-96.79409,90,8.719551
-104.280916,90,8.800162
-156.151284,90,8.870613
-125.585008,90,8.951105
-301.00726,90,9.03164
-119.403546,90,9.110017
-81.058598,90,9.182471
-98.623962,90,9.262859
-127.720149,90,9.333282
-128.467102,90,9.414531
-118.154112,90,9.493007
-226.13675,90,9.565348
-99.791103,90,9.645711
-99.440914,90,9.716335
-119.717892,90,9.804773
-114.307389,90,9.877231
-110.479065,90,10.14912
-120.326988,90,10.239722
-66.04381,90,10.328366
-123.478154,90,10.408786
-94.923735,90,10.481166
-146.039985,90,10.561704
-137.720088,90,10.632238
-149.2085,90,10.712728
-99.821815,90,10.79118
-108.729503,90,10.871607
-138.858179,90,10.944057
-97.050857,90,11.024395
-102.517846,90,11.112863
-154.532223,90,11.193147
-76.288975,90,11.273595
-87.899447,90,11.353898
-97.077464,90,11.434227
-170.815405,90,11.51461
-75.376959,90,11.59498
-89.36617,90,11.675448
-176.650538,90,11.755709
-75.005899,90,11.835942
-106.090116,90,11.926455
-145.740948,90,12.198263
-103.749588,90,12.290854
-80.85228,90,12.37133
-131.965989,90,12.452351
-71.647818,90,12.540703
-67.340551,90,12.621058
-108.562036,90,12.701418
-81.672238,90,12.78171
-82.283144,90,12.862021
-75.209478,90,12.942418
-197.731979,90,13.0228
-67.755356,90,13.113116
-67.433675,90,13.195513
-69.737833,90,13.275864
-157.940669,90,13.356172
-66.087471,90,13.436584
-134.721238,90,13.516958
-101.832182,90,13.59728
-123.16559,90,13.67789
-282.710874,90,13.758276
-120.433928,90,13.836559
-135.969965,90,13.908986
-108.060154,90,13.989401
-62.116285,90,14.261687
-122.571618,90,14.342294
-140.969089,90,14.432738
-75.930598,90,14.513222
-47.584936,90,14.591644
-177.924236,90,14.664137
-61.260336,90,14.744501
-59.438784,90,14.814792
-68.737852,90,14.895476
-66.930619,90,14.976868
-79.124741,90,15.055314
-115.886047,90,15.137831
-59.400619,90,15.218165
-95.101124,90,15.306592
-99.778041,90,15.389071
-75.806753,90,15.46962
-105.258443,90,15.548047
-141.327098,90,15.620398
-84.470209,90,15.700832
-125.122547,90,15.771222
-109.448495,90,15.851636
-80.009148,90,15.932041
-69.520879,90,16.012341
-70.394569,90,16.274164
-72.832049,90,16.362617
-124.708918,90,16.442977
-45.364216,90,16.523298
-107.277792,90,16.613794
-71.748154,90,16.694889
-70.179343,90,16.777254
-89.857533,90,16.857673
-51.74841,90,16.93808
-74.790854,90,17.018419
-95.733851,90,17.099012
-166.444959,90,17.1874
-38.929078,90,17.267954
-99.770975,90,17.34848
-46.167053,90,17.428843
-97.908948,90,17.509148
-83.306512,90,17.589521
-59.37743,90,17.669907
-138.49067,90,17.760278
-93.739594,90,17.842862
-95.259315,90,17.923333
-68.070702,90,18.003671
-72.487628,90,18.253172
-69.058869,90,18.343676
-46.066397,90,18.436306
-77.545621,90,18.514642
-91.986376,90,18.595
-51.71066,90,18.677334
-59.139527,90,18.75569
-100.722023,90,18.827986
-68.713806,90,18.908498
-68.38245,90,18.988879
-55.254848,90,19.05944
-53.044415,90,19.139904
-112.118118,90,19.22045
-107.719452,90,19.301137
-110.68188,90,19.379653
-54.572683,90,19.462208
-51.658215,90,19.543154
-47.741656,90,19.621965
-75.496948,90,19.715535
-48.2806,90,19.796197
-43.30719,90,19.876792
-89.098894,90,19.965807
-44.195052,90,20.048283
-77.345729,90,20.310133
-82.60071,90,20.400573
-66.441145,90,20.481128
-45.578236,90,20.561562
-37.236972,90,20.641947
-36.662814,90,20.722383
-60.408384,90,20.802762
-38.859161,90,20.88381
-51.489492,90,20.962233
